category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	30/198	273/7327	0.10989010989011	4.06648906648907	8.60511663810006	3.20872586019081e-11	8.2785127192923e-09	7.29562932422332e-09	GHR/SSTR2/PTGER3/PRLR/P2RY8/PNOC/SSTR3/GRM1/GRIA3/GRM7/GRIK5/GALR1/GLRA3/NPY1R/ADRA1A/ADCYAP1R1/NPY5R/PENK/CALCB/AVPR1B/VIPR2/TACR1/CHRNB2/LEP/GABRG2/BRS3/SPX/VGF/CNR2/SSTR5	30
Environmental Information Processing	Signaling molecules and interaction	hsa04081	Hormone signaling	20/198	175/7327	0.114285714285714	4.22914862914863	7.20518359096369	4.08072288744617e-08	5.26413252480556e-06	4.63913759835985e-06	GNG2/GHR/RAPGEF4/ADCY1/GNAO1/SSTR2/GNG7/PRLR/PNOC/SSTR3/ADIPOQ/ADRA1A/PENK/CALCB/AVPR1B/VIPR2/GNG4/LEP/SSTR5/IGF1	20
Environmental Information Processing	Signaling molecules and interaction	hsa04082	Neuroactive ligand signaling	19/198	164/7327	0.115853658536585	4.28717048534122	7.09493501957034	7.28549040468089e-08	6.26552174802557e-06	5.52163483302131e-06	GNG2/ADCY1/GNAO1/GNG7/PNOC/GRM1/GRIA3/GRM7/SLC6A13/GRIK5/GLRA3/ADRA1A/PENK/SLC1A2/GNG4/TACR1/CHRNB2/GABRG2/SLC6A4	19
Organismal Systems	Environmental adaptation	hsa04713	Circadian entrainment	12/198	90/7327	0.133333333333333	4.93400673400673	6.25790278681842	4.68907821975795e-06	0.000302445545174388	0.000266537077754662	GNG2/ADCY1/GNAO1/GNG7/GRIA3/RASD1/CACNA1G/ADCYAP1R1/CACNA1I/GNG4/KCNJ6/CAMK2B	12
Organismal Systems	Nervous system	hsa04727	GABAergic synapse	10/198	76/7327	0.131578947368421	4.8690855927698	5.65025340785362	3.34284050647942e-05	0.00172490570134338	0.00152011273557801	GNG2/ADCY1/GNAO1/GNG7/CACNA1A/SLC6A13/SLC12A5/GNG4/KCNJ6/GABRG2	10
Organismal Systems	Circulatory system	hsa04261	Adrenergic signaling in cardiomyocytes	13/198	140/7327	0.0928571428571429	3.43618326118326	4.85011342569445	9.7423432157515e-05	0.00341150695120173	0.00300646879420471	RAPGEF4/ADCY1/ATP1A3/ATP1B2/PPP2R2B/SLC8A3/PPP1R1A/ATP2B2/ADRA1A/CACNG5/CACNA2D2/CAMK2B/SLC8A2	13
Organismal Systems	Nervous system	hsa04728	Dopaminergic synapse	12/198	122/7327	0.0983606557377049	3.63984103328366	4.89995896350992	0.000104241380928178	0.00341150695120173	0.00300646879420471	GNG2/MAPK10/GNAO1/GNG7/PPP2R2B/CACNA1A/KIF5C/GRIA3/CALY/GNG4/KCNJ6/CAMK2B	12
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	16/198	202/7327	0.0792079207920792	2.93109310931093	4.63807972430314	0.000105783161277573	0.00341150695120173	0.00300646879420471	RAPGEF4/PDE3B/ADCY1/MAPK10/SSTR2/ATP1A3/ATP1B2/PTGER3/GRIA3/ATP2B2/NPY1R/ADCYAP1R1/VIPR2/GPR119/CAMK2B/SSTR5	16
Organismal Systems	Nervous system	hsa04724	Glutamatergic synapse	11/198	108/7327	0.101851851851852	3.7690329218107	4.83118002534528	0.000148473655765911	0.00425624479862279	0.00375091340882303	GNG2/ADCY1/GNAO1/GNG7/CACNA1A/GRM1/GRIA3/GRM7/GRIK5/SLC1A2/GNG4	11
Human Diseases	Substance dependence	hsa05032	Morphine addiction	9/198	78/7327	0.115384615384615	4.26981351981352	4.83819069191898	0.000232940658112333	0.0060098689792982	0.00529633496339621	GNG2/PDE3B/ADCY1/GNAO1/GNG7/CACNA1A/GNG4/KCNJ6/GABRG2	9
Organismal Systems	Endocrine system	hsa04911	Insulin secretion	9/198	79/7327	0.113924050632911	4.21576524741082	4.78895256956619	0.000256844286790745	0.00602416599927385	0.00530893454036373	RAPGEF4/ADCY1/KCNN2/ATP1A3/ATP1B2/ADCYAP1R1/GPR119/GCK/CAMK2B	9
Organismal Systems	Endocrine system	hsa04923	Regulation of lipolysis in adipocytes	7/198	51/7327	0.137254901960784	5.07912457912458	4.87144111157704	0.000399721049515787	0.00859400256458941	0.00757366199082543	PDE3B/AQP7/ADCY1/PTGER3/PLIN1/NPY1R/FABP4	7
Organismal Systems	Nervous system	hsa04723	Retrograde endocannabinoid signaling	11/198	129/7327	0.0852713178294574	3.15546942291128	4.11606804149515	0.000698907267386892	0.0138706211527552	0.0122238032190744	GNG2/ADCY1/MAPK10/GNAO1/GNG7/CACNA1A/GRM1/GRIA3/GNG4/KCNJ6/GABRG2	11
Organismal Systems	Nervous system	hsa04726	Serotonergic synapse	9/198	98/7327	0.0918367346938776	3.39842300556586	3.98337736913114	0.00126336564185795	0.0232820239713822	0.0205178179429562	GNG2/KCNN2/GNAO1/GNG7/CACNA1A/ALOX15/GNG4/KCNJ6/SLC6A4	9
Organismal Systems	Excretory system	hsa04961	Endocrine and other factor-regulated calcium reabsorption	6/198	49/7327	0.122448979591837	4.53123067408782	4.13304227655108	0.0019173384148378	0.0299106037003244	0.0263594059537743	KL/ATP1A3/ATP1B2/SLC8A3/ATP2B2/SLC8A2	6
Environmental Information Processing	Signaling molecules and interaction	hsa04517	IgSF CAM signaling	17/198	288/7327	0.0590277777777778	2.18432589786756	3.41714755523572	0.00196253509203858	0.0299106037003244	0.0263594059537743	ANK2/LRRC4B/MAPK10/DCC/CNTN1/NLGN4X/KCNA1/KCNA6/PAK3/SPTBN4/NFASC/CASKIN1/KCNA2/NRCAM/CADM3/SLITRK2/NCAM1	17
Organismal Systems	Nervous system	hsa04725	Cholinergic synapse	9/198	105/7327	0.0857142857142857	3.17186147186147	3.73550888359956	0.00205158243761403	0.0299106037003244	0.0263594059537743	GNG2/ADCY1/GNAO1/GNG7/CACNA1A/GNG4/CHRNB2/KCNJ6/CAMK2B	9
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	7/198	67/7327	0.104477611940299	3.86619930649781	3.92759973926214	0.0020867863046738	0.0299106037003244	0.0263594059537743	ACSL6/AQP7/CD36/PLIN1/ADIPOQ/FABP4/PCK1	7
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	11/198	151/7327	0.0728476821192053	2.69573215599706	3.50878097296573	0.00251883564881633	0.0342031367049796	0.030142299176971	LRRC4B/CNTN1/NLGN4X/NRXN1/LRRC4/NFASC/NRCAM/CADM3/CD22/SLITRK2/NCAM1	11
Organismal Systems	Endocrine system	hsa04925	Aldosterone synthesis and secretion	8/198	89/7327	0.0898876404494382	3.32629667461128	3.67961650940357	0.00267938600785729	0.034564079501359	0.0304603882998513	ADCY1/ATP1A3/ATP1B2/ATP2B2/CACNA1G/CACNA1I/KCNK3/CAMK2B	8
Environmental Information Processing	Signal transduction	hsa04020	Calcium signaling pathway	14/198	227/7327	0.0616740088105727	2.28224981088417	3.27045473680399	0.00327747816003405	0.0402661602518469	0.035485477822925	ADCY1/PTGER3/CACNA1A/SLC8A3/GRM1/ATP2B2/NTRK2/CACNA1G/ADRA1A/AVPR1B/CACNA1I/TACR1/CAMK2B/SLC8A2	14
Organismal Systems	Digestive system	hsa04978	Mineral absorption	6/198	55/7327	0.109090909090909	4.03691460055096	3.76737398157391	0.00347699020222515	0.0407756123715494	0.0359344441952455	ATP1A3/ATP1B2/SLC8A3/ATP2B2/TF/SLC8A2	6
Environmental Information Processing	Signal transduction	hsa04152	AMPK signaling pathway	9/198	116/7327	0.0775862068965517	2.87108150470219	3.38513269676237	0.00403684466680434	0.0452828662624139	0.0399065651272191	CCNA1/PPP2R2B/CD36/ADIPOQ/CIDEA/ADRA1A/LEP/PCK1/IGF1	9
