sample_name	full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_object
"GSM4710689_PDAC_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710689_PDAC_TISSUE_1/PDAC_TISSUE_1/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	9295	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710689_PDAC_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710689_PDAC_TISSUE_1/PDAC_TISSUE_1/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710689_PDAC_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710689_PDAC_TISSUE_1/PDAC_TISSUE_1/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	17745044	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710690_PDAC_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710690_PDAC_TISSUE_2/PDAC_TISSUE_2/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	10125	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710690_PDAC_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710690_PDAC_TISSUE_2/PDAC_TISSUE_2/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710690_PDAC_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710690_PDAC_TISSUE_2/PDAC_TISSUE_2/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	15611590	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710691_PDAC_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710691_PDAC_TISSUE_3/PDAC_TISSUE_3/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	14167	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710691_PDAC_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710691_PDAC_TISSUE_3/PDAC_TISSUE_3/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710691_PDAC_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710691_PDAC_TISSUE_3/PDAC_TISSUE_3/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	26967562	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710692_PDAC_TISSUE_4"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710692_PDAC_TISSUE_4/PDAC_TISSUE_4/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	13663	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710692_PDAC_TISSUE_4"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710692_PDAC_TISSUE_4/PDAC_TISSUE_4/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710692_PDAC_TISSUE_4"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710692_PDAC_TISSUE_4/PDAC_TISSUE_4/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	19548040	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710693_PDAC_TISSUE_5"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710693_PDAC_TISSUE_5/PDAC_TISSUE_5/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	10488	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710693_PDAC_TISSUE_5"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710693_PDAC_TISSUE_5/PDAC_TISSUE_5/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710693_PDAC_TISSUE_5"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710693_PDAC_TISSUE_5/PDAC_TISSUE_5/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	17108805	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710694_PDAC_TISSUE_6"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710694_PDAC_TISSUE_6/PDAC_TISSUE_6/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	13006	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710694_PDAC_TISSUE_6"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710694_PDAC_TISSUE_6/PDAC_TISSUE_6/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710694_PDAC_TISSUE_6"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710694_PDAC_TISSUE_6/PDAC_TISSUE_6/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	26357946	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710695_PDAC_TISSUE_7"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710695_PDAC_TISSUE_7/PDAC_TISSUE_7/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	40966	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710695_PDAC_TISSUE_7"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710695_PDAC_TISSUE_7/PDAC_TISSUE_7/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710695_PDAC_TISSUE_7"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710695_PDAC_TISSUE_7/PDAC_TISSUE_7/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	74395905	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710696_PDAC_TISSUE_8"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710696_PDAC_TISSUE_8/PDAC_TISSUE_8/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	24638	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710696_PDAC_TISSUE_8"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710696_PDAC_TISSUE_8/PDAC_TISSUE_8/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710696_PDAC_TISSUE_8"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710696_PDAC_TISSUE_8/PDAC_TISSUE_8/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	43643234	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710697_PDAC_TISSUE_9"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710697_PDAC_TISSUE_9/PDAC_TISSUE_9/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	23399	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710697_PDAC_TISSUE_9"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710697_PDAC_TISSUE_9/PDAC_TISSUE_9/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710697_PDAC_TISSUE_9"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710697_PDAC_TISSUE_9/PDAC_TISSUE_9/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	22560479	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710698_PDAC_TISSUE_10"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710698_PDAC_TISSUE_10/PDAC_TISSUE_10/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	8363	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710698_PDAC_TISSUE_10"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710698_PDAC_TISSUE_10/PDAC_TISSUE_10/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710698_PDAC_TISSUE_10"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710698_PDAC_TISSUE_10/PDAC_TISSUE_10/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	10007664	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710699_PDAC_TISSUE_11A"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710699_PDAC_TISSUE_11A/PDAC_TISSUE_11A/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	23284	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710699_PDAC_TISSUE_11A"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710699_PDAC_TISSUE_11A/PDAC_TISSUE_11A/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710699_PDAC_TISSUE_11A"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710699_PDAC_TISSUE_11A/PDAC_TISSUE_11A/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	12397245	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710700_PDAC_TISSUE_11B"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710700_PDAC_TISSUE_11B/PDAC_TISSUE_11B/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	12825	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710700_PDAC_TISSUE_11B"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710700_PDAC_TISSUE_11B/PDAC_TISSUE_11B/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710700_PDAC_TISSUE_11B"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710700_PDAC_TISSUE_11B/PDAC_TISSUE_11B/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	22642749	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710701_PDAC_TISSUE_12"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710701_PDAC_TISSUE_12/PDAC_TISSUE_12/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	9456	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710701_PDAC_TISSUE_12"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710701_PDAC_TISSUE_12/PDAC_TISSUE_12/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710701_PDAC_TISSUE_12"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710701_PDAC_TISSUE_12/PDAC_TISSUE_12/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	13439657	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710702_PDAC_TISSUE_13"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710702_PDAC_TISSUE_13/PDAC_TISSUE_13/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	27067	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710702_PDAC_TISSUE_13"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710702_PDAC_TISSUE_13/PDAC_TISSUE_13/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710702_PDAC_TISSUE_13"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710702_PDAC_TISSUE_13/PDAC_TISSUE_13/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	51194230	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710703_PDAC_TISSUE_14"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710703_PDAC_TISSUE_14/PDAC_TISSUE_14/filtered_feature_bc_matrix.h5"	"filtered_feature_bc_matrix.h5"	"h5"	3747170	"YES"	"NO"	"YES"	"NO"	"YES"
"GSM4710704_PDAC_TISSUE_15"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710704_PDAC_TISSUE_15/PDAC_TISSUE_15/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	16924	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710704_PDAC_TISSUE_15"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710704_PDAC_TISSUE_15/PDAC_TISSUE_15/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710704_PDAC_TISSUE_15"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710704_PDAC_TISSUE_15/PDAC_TISSUE_15/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	41995995	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710705_PDAC_TISSUE_16"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710705_PDAC_TISSUE_16/PDAC_TISSUE_16/filtered_gene_bc_matrices_h5.h5"	"filtered_gene_bc_matrices_h5.h5"	"h5"	5353374	"NO"	"NO"	"YES"	"NO"	"YES"
"GSM4710705_PDAC_TISSUE_16"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710705_PDAC_TISSUE_16/PDAC_TISSUE_16/filtered_gene_bc_matrices/barcodes.tsv"	"barcodes.tsv"	"tsv"	18278	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710705_PDAC_TISSUE_16"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710705_PDAC_TISSUE_16/PDAC_TISSUE_16/filtered_gene_bc_matrices/genes.tsv"	"genes.tsv"	"tsv"	816952	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710705_PDAC_TISSUE_16"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710705_PDAC_TISSUE_16/PDAC_TISSUE_16/filtered_gene_bc_matrices/matrix.mtx"	"matrix.mtx"	"mtx"	37298930	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710706_AdjNorm_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710706_AdjNorm_TISSUE_1/AdjNorm_TISSUE_1/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	26424	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710706_AdjNorm_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710706_AdjNorm_TISSUE_1/AdjNorm_TISSUE_1/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710706_AdjNorm_TISSUE_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710706_AdjNorm_TISSUE_1/AdjNorm_TISSUE_1/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	30324810	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710707_AdjNorm_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710707_AdjNorm_TISSUE_2/AdjNorm_TISSUE_2/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	19408	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710707_AdjNorm_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710707_AdjNorm_TISSUE_2/AdjNorm_TISSUE_2/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710707_AdjNorm_TISSUE_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710707_AdjNorm_TISSUE_2/AdjNorm_TISSUE_2/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	18168253	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710708_AdjNorm_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710708_AdjNorm_TISSUE_3/AdjNorm_TISSUE_3/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	12992	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710708_AdjNorm_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710708_AdjNorm_TISSUE_3/AdjNorm_TISSUE_3/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710708_AdjNorm_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710708_AdjNorm_TISSUE_3/AdjNorm_TISSUE_3/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	10194531	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710709_PDAC_PBMC_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710709_PDAC_PBMC_1/PDAC_PBMC_1/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	14725	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710709_PDAC_PBMC_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710709_PDAC_PBMC_1/PDAC_PBMC_1/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
